File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\projectty\Oldproject\Admin\Admin.aspx.cs,50,43,33,3,7,0,0,0,0,0
D:\projectty\Oldproject\Admin\banUpload.aspx.cs,32,29,23,0,3,0,0,0,0,0
D:\projectty\Oldproject\Admin\Buyer_Users.aspx.cs,17,14,10,0,3,0,0,0,0,0
D:\projectty\Oldproject\Admin\carform.aspx.cs,37,32,26,0,5,0,0,0,0,0
D:\projectty\Oldproject\Admin\Cars_details.aspx.cs,14,12,8,0,2,0,0,0,0,0
D:\projectty\Oldproject\Admin\Cars_info_Form.aspx.cs,123,110,104,0,8,0,5,13,0,0
D:\projectty\Oldproject\Admin\MasterPage.master.cs,36,29,19,1,7,0,0,0,0,0
D:\projectty\Oldproject\Admin\Seller_Users.aspx.cs,14,12,8,0,2,0,0,0,0,0
D:\projectty\Oldproject\Admin\Spform.aspx.cs,42,35,29,0,7,0,0,0,0,0
D:\projectty\Oldproject\Admin\sponser.aspx.cs,28,26,22,0,2,0,0,0,0,0
